id,activity,timestamp_epoch
0,A_Create Application,1471285858
1,W_Complete application__Created__SCHEDULE,1471285858
2,W_Complete application__Obtained__START,1471285858
3,A_Concept,1471285858
4,A_Accepted,1471286094
5,O_Create Offer,1471286444
6,O_Created,1471286444
7,O_Sent (mail and online),1471286466
8,W_Complete application__Deleted__COMPLETE,1471286466
9,W_Call after offers__Created__SCHEDULE,1471286466
10,W_Call after offers__Obtained__START,1471286466
11,A_Complete,1471286466
12,W_Call after offers__Released__SUSPEND,1471286621
13,W_Call after offers__Obtained__RESUME,1471692780
14,W_Call after offers__Released__SUSPEND,1471692818
15,W_Call after offers__Obtained__RESUME,1471693486
16,W_Call after offers__Released__SUSPEND,1471693529
17,W_Call after offers__Deleted__ATE_ABORT,1471876796
18,W_Validate application__Created__SCHEDULE,1471876796
19,W_Validate application__Obtained__START,1471876796
20,A_Validating,1471876797
21,O_Returned,1471876942
22,W_Validate application__Released__SUSPEND,1471877084
23,W_Validate application__Deleted__ATE_ABORT,1471954141
24,W_Call incomplete files__Created__SCHEDULE,1471954141
25,W_Call incomplete files__Obtained__START,1471954141
26,A_Incomplete,1471954141
27,W_Call incomplete files__Released__SUSPEND,1471954163
28,W_Call incomplete files__Obtained__RESUME,1471967098
29,W_Call incomplete files__Released__SUSPEND,1471967111
30,W_Call incomplete files__Obtained__RESUME,1471967203
31,W_Call incomplete files__Released__SUSPEND,1471967424
32,O_Create Offer,1472045829
33,O_Created,1472045830
34,O_Sent (online only),1472045846
35,W_Call incomplete files__Deleted__ATE_ABORT,1472112919
36,W_Validate application__Created__SCHEDULE,1472112919
37,W_Validate application__Obtained__START,1472112919
38,A_Validating,1472112919
39,O_Returned,1472113553
40,W_Validate application__Released__SUSPEND,1472113680
41,O_Accepted,1472118524
42,A_Pending,1472118524
43,W_Validate application__Deleted__ATE_ABORT,1472118524
44,O_Cancelled,1472118524
