id,activity,timestamp_epoch
0,A_Create Application,1481327400
1,A_Submitted,1481327401
2,W_Handle leads__Created__SCHEDULE,1481327401
3,W_Handle leads__Deleted__WITHDRAW,1481327427
4,W_Complete application__Created__SCHEDULE,1481327427
5,A_Concept,1481327427
6,W_Complete application__Obtained__START,1481380845
7,W_Complete application__Released__SUSPEND,1481380849
8,W_Complete application__Obtained__RESUME,1481383199
9,A_Accepted,1481383612
10,O_Create Offer,1481383772
11,O_Created,1481383773
12,O_Sent (mail and online),1481383801
13,W_Complete application__Deleted__COMPLETE,1481383801
14,W_Call after offers__Created__SCHEDULE,1481383801
15,W_Call after offers__Obtained__START,1481383801
16,A_Complete,1481383801
17,W_Call after offers__Released__SUSPEND,1481383989
18,W_Call after offers__Deleted__ATE_ABORT,1481697160
19,W_Call after offers__Created__SCHEDULE,1481697160
20,A_Cancelled,1484031624
21,O_Cancelled,1484031624
22,W_Call after offers__Deleted__WITHDRAW,1484031624
