id,activity,timestamp_epoch
0,A_Create Application,1480085182
1,W_Complete application__Created__SCHEDULE,1480085182
2,W_Complete application__Obtained__START,1480085182
3,A_Concept,1480085182
4,A_Accepted,1480085441
5,O_Create Offer,1480085584
6,O_Created,1480085584
7,O_Sent (mail and online),1480085593
8,W_Complete application__Deleted__COMPLETE,1480085593
9,W_Call after offers__Created__SCHEDULE,1480085593
10,W_Call after offers__Obtained__START,1480085593
11,A_Complete,1480085593
12,W_Call after offers__Released__SUSPEND,1480085733
13,W_Call after offers__Deleted__ATE_ABORT,1480401100
14,W_Call after offers__Created__SCHEDULE,1480401100
15,W_Call after offers__Deleted__WITHDRAW,1480499383
16,W_Validate application__Created__SCHEDULE,1480499383
17,W_Validate application__Obtained__START,1480499383
18,A_Validating,1480499384
19,O_Returned,1480499437
20,W_Validate application__Released__SUSPEND,1480499849
21,W_Validate application__Deleted__ATE_ABORT,1480506221
22,W_Call incomplete files__Created__SCHEDULE,1480506221
23,W_Call incomplete files__Obtained__START,1480506221
24,A_Incomplete,1480506221
25,W_Call incomplete files__Released__SUSPEND,1480506410
26,W_Call incomplete files__Obtained__RESUME,1480529051
27,W_Call incomplete files__Released__SUSPEND,1480529142
28,W_Call incomplete files__Deleted__ATE_ABORT,1480533302
29,W_Validate application__Created__SCHEDULE,1480533302
30,W_Validate application__Obtained__START,1480533302
31,A_Validating,1480533302
32,W_Validate application__Released__SUSPEND,1480533316
33,W_Validate application__Obtained__RESUME,1480580158
34,W_Validate application__Released__SUSPEND,1480580313
35,O_Accepted,1480580675
36,A_Pending,1480580675
37,W_Validate application__Deleted__ATE_ABORT,1480580675
