id,activity,timestamp_epoch
0,A_Create Application,1452172108
1,W_Complete application__Created__SCHEDULE,1452172108
2,W_Complete application__Obtained__START,1452172108
3,A_Concept,1452172108
4,A_Accepted,1452172367
5,O_Create Offer,1452172745
6,O_Created,1452172746
7,O_Sent (mail and online),1452172772
8,W_Complete application__Deleted__COMPLETE,1452172773
9,W_Call after offers__Created__SCHEDULE,1452172773
10,W_Call after offers__Obtained__START,1452172773
11,A_Complete,1452172773
12,W_Call after offers__Released__SUSPEND,1452173028
13,W_Call after offers__Obtained__RESUME,1452511331
14,W_Call after offers__Released__SUSPEND,1452511354
15,W_Call after offers__Deleted__ATE_ABORT,1453888323
16,W_Validate application__Created__SCHEDULE,1453888323
17,W_Validate application__Obtained__START,1453888323
18,A_Validating,1453888324
19,O_Returned,1453888408
20,W_Validate application__Released__SUSPEND,1453888570
21,W_Validate application__Deleted__ATE_ABORT,1453892880
22,W_Call incomplete files__Created__SCHEDULE,1453892880
23,W_Call incomplete files__Obtained__START,1453892880
24,A_Incomplete,1453892880
25,W_Call incomplete files__Released__SUSPEND,1453892979
26,W_Call incomplete files__Obtained__RESUME,1453895910
27,W_Call incomplete files__Released__SUSPEND,1453896127
28,W_Call incomplete files__Deleted__ATE_ABORT,1453909481
29,W_Validate application__Created__SCHEDULE,1453909481
30,W_Validate application__Obtained__START,1453909481
31,A_Validating,1453909481
32,W_Validate application__Released__SUSPEND,1453909547
33,W_Validate application__Obtained__RESUME,1453971677
34,W_Validate application__Released__SUSPEND,1453971706
35,W_Validate application__Deleted__ATE_ABORT,1453975696
36,W_Call incomplete files__Created__SCHEDULE,1453975696
37,W_Call incomplete files__Obtained__START,1453975696
38,A_Incomplete,1453975696
39,W_Call incomplete files__Released__SUSPEND,1453975699
40,W_Call incomplete files__Obtained__RESUME,1453976434
41,O_Create Offer,1453976527
42,O_Created,1453976529
43,O_Sent (online only),1453976543
44,W_Call incomplete files__Released__SUSPEND,1453976938
45,W_Call incomplete files__Deleted__ATE_ABORT,1453984509
46,W_Validate application__Created__SCHEDULE,1453984509
47,W_Validate application__Obtained__START,1453984509
48,A_Validating,1453984509
49,W_Validate application__Released__SUSPEND,1453984513
50,W_Validate application__Deleted__ATE_ABORT,1454056269
51,W_Call incomplete files__Created__SCHEDULE,1454056269
52,W_Call incomplete files__Obtained__START,1454056269
53,A_Incomplete,1454056269
54,W_Call incomplete files__Released__SUSPEND,1454056273
55,W_Call incomplete files__Obtained__RESUME,1454056457
56,W_Call incomplete files__Released__SUSPEND,1454056516
57,W_Call incomplete files__Deleted__ATE_ABORT,1454079836
58,W_Validate application__Created__SCHEDULE,1454079836
59,W_Validate application__Obtained__START,1454079836
60,A_Validating,1454079836
61,W_Validate application__Released__SUSPEND,1454080016
62,O_Returned,1454317230
63,O_Accepted,1454320476
64,A_Pending,1454320476
65,W_Validate application__Deleted__ATE_ABORT,1454320476
66,O_Cancelled,1454320476
