id,activity,timestamp_epoch
0,A_Create Application,1458900454
1,A_Submitted,1458900455
2,W_Handle leads__Created__SCHEDULE,1458900455
3,W_Handle leads__Deleted__WITHDRAW,1458900512
4,W_Complete application__Created__SCHEDULE,1458900512
5,A_Concept,1458900512
6,W_Complete application__Obtained__START,1458903893
7,A_Accepted,1458904572
8,O_Create Offer,1458904841
9,O_Created,1458904843
10,O_Sent (mail and online),1458904854
11,W_Complete application__Deleted__COMPLETE,1458904854
12,W_Call after offers__Created__SCHEDULE,1458904854
13,W_Call after offers__Obtained__START,1458904854
14,A_Complete,1458904854
15,W_Call after offers__Released__SUSPEND,1458905456
16,W_Call after offers__Obtained__RESUME,1459240896
17,W_Call after offers__Released__SUSPEND,1459240922
18,O_Create Offer,1459247970
19,O_Created,1459247972
20,O_Sent (mail and online),1459248077
21,O_Cancelled,1459248090
22,W_Call after offers__Deleted__ATE_ABORT,1459432051
23,W_Validate application__Created__SCHEDULE,1459432051
24,W_Validate application__Obtained__START,1459432051
25,A_Validating,1459432052
26,O_Returned,1459432064
27,W_Validate application__Released__SUSPEND,1459432246
28,W_Validate application__Obtained__RESUME,1459752625
29,W_Validate application__Released__SUSPEND,1459752634
30,W_Validate application__Obtained__RESUME,1459783019
31,W_Validate application__Deleted__COMPLETE,1459784920
32,W_Call incomplete files__Created__SCHEDULE,1459784920
33,W_Call incomplete files__Obtained__START,1459784920
34,A_Incomplete,1459784920
35,W_Call incomplete files__Released__SUSPEND,1459784924
36,W_Call incomplete files__Deleted__ATE_ABORT,1459785364
37,W_Validate application__Created__SCHEDULE,1459785364
38,W_Validate application__Obtained__START,1459785364
39,A_Validating,1459785364
40,W_Validate application__Released__SUSPEND,1459785751
41,W_Validate application__Obtained__RESUME,1459787040
42,W_Validate application__Deleted__COMPLETE,1459787053
43,W_Call incomplete files__Created__SCHEDULE,1459787053
44,W_Call incomplete files__Obtained__START,1459787053
45,A_Incomplete,1459787053
46,W_Call incomplete files__Released__SUSPEND,1459787078
47,W_Call incomplete files__Obtained__RESUME,1459849087
48,W_Call incomplete files__Released__SUSPEND,1459850009
49,W_Call incomplete files__Obtained__RESUME,1459850450
50,W_Call incomplete files__Released__SUSPEND,1459851020
51,W_Call incomplete files__Obtained__RESUME,1459851835
52,A_Cancelled,1459851862
53,O_Cancelled,1459851862
54,W_Call incomplete files__Deleted__COMPLETE,1459851862
