id,activity,timestamp_epoch
0,A_Create Application,1472480042
1,A_Submitted,1472480042
2,W_Handle leads__Created__SCHEDULE,1472480042
3,W_Handle leads__Deleted__WITHDRAW,1472480112
4,W_Complete application__Created__SCHEDULE,1472480112
5,A_Concept,1472480112
6,W_Complete application__Obtained__START,1472482924
7,A_Accepted,1472484058
8,O_Create Offer,1472484314
9,O_Created,1472484315
10,O_Sent (mail and online),1472484366
11,W_Complete application__Deleted__COMPLETE,1472484366
12,W_Call after offers__Created__SCHEDULE,1472484366
13,W_Call after offers__Obtained__START,1472484366
14,A_Complete,1472484366
15,W_Call after offers__Released__SUSPEND,1472484505
16,W_Call after offers__Obtained__RESUME,1472813834
17,W_Call after offers__Released__SUSPEND,1472813858
18,W_Call after offers__Deleted__ATE_ABORT,1473169976
19,W_Validate application__Created__SCHEDULE,1473169976
20,W_Validate application__Obtained__START,1473169976
21,A_Validating,1473169977
22,O_Returned,1473170496
23,W_Validate application__Released__SUSPEND,1473170734
24,W_Validate application__Obtained__RESUME,1473172713
25,W_Validate application__Released__SUSPEND,1473172747
26,W_Validate application__Obtained__RESUME,1473343329
27,W_Validate application__Deleted__COMPLETE,1473344389
28,W_Call incomplete files__Created__SCHEDULE,1473344389
29,W_Call incomplete files__Obtained__START,1473344389
30,A_Incomplete,1473344389
31,W_Call incomplete files__Released__SUSPEND,1473344431
32,W_Call incomplete files__Obtained__RESUME,1473420595
33,W_Call incomplete files__Released__SUSPEND,1473420612
34,W_Call incomplete files__Obtained__RESUME,1473422402
35,W_Call incomplete files__Released__SUSPEND,1473422713
36,W_Call incomplete files__Deleted__ATE_ABORT,1473775898
37,W_Validate application__Created__SCHEDULE,1473775898
38,W_Validate application__Obtained__START,1473775898
39,A_Validating,1473775898
40,W_Validate application__Released__SUSPEND,1473776025
41,W_Validate application__Obtained__RESUME,1473836159
42,W_Validate application__Deleted__COMPLETE,1473837320
43,W_Call incomplete files__Created__SCHEDULE,1473837320
44,W_Call incomplete files__Obtained__START,1473837320
45,A_Incomplete,1473837320
46,W_Call incomplete files__Released__SUSPEND,1473837350
47,W_Call incomplete files__Obtained__RESUME,1473841575
48,W_Call incomplete files__Released__SUSPEND,1473841653
49,W_Call incomplete files__Obtained__RESUME,1473843077
50,W_Call incomplete files__Released__SUSPEND,1473843082
51,W_Call incomplete files__Obtained__RESUME,1473851841
52,W_Call incomplete files__Released__SUSPEND,1473852643
53,W_Call incomplete files__Deleted__ATE_ABORT,1473931647
54,W_Validate application__Created__SCHEDULE,1473931647
55,W_Validate application__Obtained__START,1473931647
56,A_Validating,1473931648
57,W_Validate application__Released__SUSPEND,1473931657
58,W_Validate application__Deleted__ATE_ABORT,1473945814
59,W_Call incomplete files__Created__SCHEDULE,1473945814
60,W_Call incomplete files__Obtained__START,1473945814
61,A_Incomplete,1473945814
62,W_Call incomplete files__Released__SUSPEND,1473945843
63,O_Accepted,1474525947
64,A_Pending,1474525947
65,W_Call incomplete files__Deleted__ATE_ABORT,1474525947
